Maeterlinck's Blue Bird: Tyltyl and Mytyl's Adventurous Journey,https://upload.wikimedia.org/wikipedia/en/b/bf/Tyltyl_and_Mytyl%27s_Adventurous_Journey.jpg
Makoto-chan,https://upload.wikimedia.org/wikipedia/en/2/29/Makotochan.jpg
"Muteking, The Dashing Warrior",https://upload.wikimedia.org/wikipedia/en/8/8e/Muteking%2C_The_Dashing_Warrior.jpg
Ojamanga Yamada-kun,https://upload.wikimedia.org/wikipedia/en/7/72/Ojamanga_Yamada-kun.jpg
Phoenix 2772,https://upload.wikimedia.org/wikipedia/en/1/1a/Phoenix_2772.jpg
Rescueman,https://upload.wikimedia.org/wikipedia/en/f/f9/Rescueman.jpg
Space Battleship Yamato III,https://upload.wikimedia.org/wikipedia/en/e/e9/Space_Battleship_Yamato_III%2C_DVD_BOX.jpg
Space Runaway Ideon,https://upload.wikimedia.org/wikipedia/en/5/57/IdeonMovie_BD.jpg
Tetsujin 28-go,https://upload.wikimedia.org/wikipedia/en/f/f5/Tetsujin_28-go.jpg
The Wonderful Adventures of Nils (anime),https://upload.wikimedia.org/wikipedia/en/a/a6/Nils_no_Fushigi_na_Tabi_%28DVD_cover%29.jpg
Tsurikichi Sanpei,https://upload.wikimedia.org/wikipedia/en/3/3c/Fisherman_Sanpei_Volume_1.png
Ashita no Joe,https://upload.wikimedia.org/wikipedia/en/3/38/Ashita_no_Joe_Volume_1.jpg
Belle and Sebastian (Japanese TV series),https://upload.wikimedia.org/wikipedia/en/7/7e/Belle_and_Sebastian_%28TV_series%29.jpg
Daicon III and IV Opening Animations,https://upload.wikimedia.org/wikipedia/en/2/20/DAICON_IV_Opening_Animation.jpg
Dash Kappei,https://upload.wikimedia.org/wikipedia/en/6/60/Dash_Kappei_Japanese_manga_volume_1_cover.png
Dokonjō Gaeru,https://upload.wikimedia.org/wikipedia/en/7/77/Dokonjo_Gaeru.jpg
"Doraemon: The Records of Nobita, Spaceblazer",https://upload.wikimedia.org/wikipedia/en/d/d2/Doraemon_1981_film_poster.jpg
Dr. Slump,https://upload.wikimedia.org/wikipedia/en/c/cd/DrSlump1.jpg
Fang of the Sun Dougram,https://upload.wikimedia.org/wikipedia/en/8/8e/Fang_of_the_Sun_Dougram.jpg
Furiten-kun,https://upload.wikimedia.org/wikipedia/en/2/29/Furiten-kun.jpg
